dmu_id,farmer_id,year,basis,impact_category,impact_unit,centrifugal_spreader_ha_worked_per_ha,centrifugal_spreader_ha_worked_per_tonne,centrifugal_spreader_factor_per_ha_worked,centrifugal_spreader_factor_unit,centrifugal_spreader_characterisation_sheet,centrifugal_spreader_single_score_file,centrifugal_spreader_impact,combine_harvester_ha_worked_per_ha,combine_harvester_ha_worked_per_tonne,combine_harvester_factor_per_ha_worked,combine_harvester_factor_unit,combine_harvester_characterisation_sheet,combine_harvester_single_score_file,combine_harvester_impact,disk_harrow_ha_worked_per_ha,disk_harrow_ha_worked_per_tonne,disk_harrow_factor_per_ha_worked,disk_harrow_factor_unit,disk_harrow_characterisation_sheet,disk_harrow_single_score_file,disk_harrow_impact,laser_leveler_ha_worked_per_ha,laser_leveler_ha_worked_per_tonne,laser_leveler_factor_per_ha_worked,laser_leveler_factor_unit,laser_leveler_characterisation_sheet,laser_leveler_single_score_file,laser_leveler_impact,rotary_tiller_ha_worked_per_ha,rotary_tiller_ha_worked_per_tonne,rotary_tiller_factor_per_ha_worked,rotary_tiller_factor_unit,rotary_tiller_characterisation_sheet,rotary_tiller_single_score_file,rotary_tiller_impact,seeder_ha_worked_per_ha,seeder_ha_worked_per_tonne,seeder_factor_per_ha_worked,seeder_factor_unit,seeder_characterisation_sheet,seeder_single_score_file,seeder_impact,sprayer_ha_worked_per_ha,sprayer_ha_worked_per_tonne,sprayer_factor_per_ha_worked,sprayer_factor_unit,sprayer_characterisation_sheet,sprayer_single_score_file,sprayer_impact,machines_total_impact
D1_2024,D1,2024,ha,Acidification,Pt,3.0,,0.8703199999999999,1 ha worked,,centrifugal_spreader_singlescore_13.json,2.6109599999999995,1.0,,6.1575999999999995,1 ha worked,,combine_harvester_singlescore_16.json,6.1575999999999995,3.0,,0.6948799999999999,1 ha worked,,disk_harrow_singlescore_11.json,2.08464,1.0,,3.784,1 ha worked,,laser_leveler_singlescore_12.json,3.784,1.0,,1.95048,1 ha worked,,rotary_tiller_singlescore_14.json,1.95048,0.0,,0.39904,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.057448000000000006,1 ha worked,,sprayer_singlescore_15.json,0.23312769032091282,16.820807690320912
D1_2024,D1,2024,ha,Climate change,Pt,3.0,,47577.59999999999,1 ha worked,,centrifugal_spreader_singlescore_13.json,142732.8,1.0,,293625.3,1 ha worked,,combine_harvester_singlescore_16.json,293625.3,3.0,,36196.5,1 ha worked,,disk_harrow_singlescore_11.json,108589.5,1.0,,219798.59999999998,1 ha worked,,laser_leveler_singlescore_12.json,219798.59999999998,1.0,,123280.5,1 ha worked,,rotary_tiller_singlescore_14.json,123280.5,0.0,,50037.9,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,3416.1000000000004,1 ha worked,,sprayer_singlescore_15.json,13862.754193449211,901889.4541934491
D1_2024,D1,2024,ha,Climate change - Biogenic,Pt,3.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,0.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D1_2024,D1,2024,ha,Climate change - Fossil,Pt,3.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,0.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D1_2024,D1,2024,ha,Climate change - Land use and LU change,Pt,3.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,0.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D1_2024,D1,2024,ha,"Ecotoxicity, freshwater",Pt,3.0,,92856.62000000001,1 ha worked,,centrifugal_spreader_singlescore_13.json,278569.86000000004,1.0,,619566.99,1 ha worked,,combine_harvester_singlescore_16.json,619566.99,3.0,,53553.84,1 ha worked,,disk_harrow_singlescore_11.json,160661.52,1.0,,360473.73,1 ha worked,,laser_leveler_singlescore_12.json,360473.73,1.0,,257538.30999999997,1 ha worked,,rotary_tiller_singlescore_14.json,257538.30999999997,0.0,,133625.82,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,7323.02,1 ha worked,,sprayer_singlescore_15.json,29717.287612690623,1706527.6976126907
D1_2024,D1,2024,ha,"Ecotoxicity, freshwater - inorganics",Pt,3.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,0.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D1_2024,D1,2024,ha,"Ecotoxicity, freshwater - metals",Pt,3.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,0.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D1_2024,D1,2024,ha,"Ecotoxicity, freshwater - organics",Pt,3.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,0.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D1_2024,D1,2024,ha,"Eutrophication, freshwater",Pt,3.0,,7.1276e-05,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.000213828,1.0,,0.00048615999999999997,1 ha worked,,combine_harvester_singlescore_16.json,0.00048615999999999997,3.0,,3.0076e-05,1 ha worked,,disk_harrow_singlescore_11.json,9.0228e-05,1.0,,0.00026574,1 ha worked,,laser_leveler_singlescore_12.json,0.00026574,1.0,,0.00023895999999999998,1 ha worked,,rotary_tiller_singlescore_14.json,0.00023895999999999998,0.0,,0.00014111,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,5.6032e-06,1 ha worked,,sprayer_singlescore_15.json,2.273814709661152e-05,0.0013176541470966113
D1_2024,D1,2024,ha,"Eutrophication, marine",Pt,3.0,,0.08380000000000001,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.25140000000000007,1.0,,0.610902,1 ha worked,,combine_harvester_singlescore_16.json,0.610902,3.0,,0.0708948,1 ha worked,,disk_harrow_singlescore_11.json,0.2126844,1.0,,0.37207199999999996,1 ha worked,,laser_leveler_singlescore_12.json,0.37207199999999996,1.0,,0.17849399999999999,1 ha worked,,rotary_tiller_singlescore_14.json,0.17849399999999999,0.0,,0.017262800000000002,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.005413480000000001,1 ha worked,,sprayer_singlescore_15.json,0.02196825109661703,1.647520651096617
D1_2024,D1,2024,ha,"Eutrophication, terrestrial",Pt,3.0,,7.227,1 ha worked,,centrifugal_spreader_singlescore_13.json,21.681,1.0,,52.3629,1 ha worked,,combine_harvester_singlescore_16.json,52.3629,3.0,,6.09039,1 ha worked,,disk_harrow_singlescore_11.json,18.27117,1.0,,31.9302,1 ha worked,,laser_leveler_singlescore_12.json,31.9302,1.0,,15.308100000000001,1 ha worked,,rotary_tiller_singlescore_14.json,15.308100000000001,0.0,,1.43226,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.46252800000000005,1 ha worked,,sprayer_singlescore_15.json,1.876968464502701,141.4303384645027
D1_2024,D1,2024,ha,"Human toxicity, cancer",Pt,3.0,,1.6072e-14,1 ha worked,,centrifugal_spreader_singlescore_13.json,4.8216e-14,1.0,,1.0988000000000001e-13,1 ha worked,,combine_harvester_singlescore_16.json,1.0988000000000001e-13,3.0,,9.265999999999999e-15,1 ha worked,,disk_harrow_singlescore_11.json,2.7797999999999996e-14,1.0,,8.446e-14,1 ha worked,,laser_leveler_singlescore_12.json,8.446e-14,1.0,,9.348e-14,1 ha worked,,rotary_tiller_singlescore_14.json,9.348e-14,0.0,,4.5428e-14,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,1.5661999999999999e-15,1 ha worked,,sprayer_singlescore_15.json,6.35574064511582e-15,3.701897406451159e-13
D1_2024,D1,2024,ha,"Human toxicity, cancer - inorganics",Pt,3.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,0.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D1_2024,D1,2024,ha,"Human toxicity, cancer - metals",Pt,3.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,0.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D1_2024,D1,2024,ha,"Human toxicity, cancer - organics",Pt,3.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,0.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D1_2024,D1,2024,ha,"Human toxicity, non-cancer",Pt,3.0,,5.2352599999999984e-12,1 ha worked,,centrifugal_spreader_singlescore_13.json,1.5705779999999997e-11,1.0,,3.0240399999999995e-11,1 ha worked,,combine_harvester_singlescore_16.json,3.0240399999999995e-11,3.0,,7.796079999999999e-12,1 ha worked,,disk_harrow_singlescore_11.json,2.3388239999999995e-11,1.0,,1.748e-11,1 ha worked,,laser_leveler_singlescore_12.json,1.748e-11,1.0,,1.1973799999999998e-11,1 ha worked,,rotary_tiller_singlescore_14.json,1.1973799999999998e-11,0.0,,9.351799999999999e-12,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,1.1099799999999999e-12,1 ha worked,,sprayer_singlescore_15.json,4.5043704515806775e-12,1.0329259045158067e-10
D1_2024,D1,2024,ha,"Human toxicity, non-cancer - inorganics",Pt,3.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,0.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D1_2024,D1,2024,ha,"Human toxicity, non-cancer - metals",Pt,3.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,0.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D1_2024,D1,2024,ha,"Human toxicity, non-cancer - organics",Pt,3.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,0.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D1_2024,D1,2024,ha,Ionising radiation,Pt,3.0,,362.9200000000001,1 ha worked,,centrifugal_spreader_singlescore_13.json,1088.7600000000002,1.0,,2213.39,1 ha worked,,combine_harvester_singlescore_16.json,2213.39,3.0,,267.96999999999997,1 ha worked,,disk_harrow_singlescore_11.json,803.9099999999999,1.0,,1664.79,1 ha worked,,laser_leveler_singlescore_12.json,1664.79,1.0,,911.52,1 ha worked,,rotary_tiller_singlescore_14.json,911.52,0.0,,369.25,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,24.264999999999997,1 ha worked,,sprayer_singlescore_15.json,98.46893548316649,6780.838935483165
D1_2024,D1,2024,ha,Land use,Pt,3.0,,16120529.999999998,1 ha worked,,centrifugal_spreader_singlescore_13.json,48361589.99999999,1.0,,88815540.0,1 ha worked,,combine_harvester_singlescore_16.json,88815540.0,3.0,,15266940.0,1 ha worked,,disk_harrow_singlescore_11.json,45800820.0,1.0,,71172090.0,1 ha worked,,laser_leveler_singlescore_12.json,71172090.0,1.0,,46409100.0,1 ha worked,,rotary_tiller_singlescore_14.json,46409100.0,0.0,,18753450.0,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,11114430.0,1 ha worked,,sprayer_singlescore_15.json,45103073.99967732,345662213.9996773
D1_2024,D1,2024,ha,Ozone depletion,Pt,3.0,,7.3408e-09,1 ha worked,,centrifugal_spreader_singlescore_13.json,2.20224e-08,1.0,,4.4843999999999994e-08,1 ha worked,,combine_harvester_singlescore_16.json,4.4843999999999994e-08,3.0,,6.1716e-09,1 ha worked,,disk_harrow_singlescore_11.json,1.85148e-08,1.0,,3.1524e-08,1 ha worked,,laser_leveler_singlescore_12.json,3.1524e-08,1.0,,1.47556e-08,1 ha worked,,rotary_tiller_singlescore_14.json,1.47556e-08,0.0,,5.209600000000001e-09,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,4.765600000000001e-10,1 ha worked,,sprayer_singlescore_15.json,1.933911225792616e-09,1.335947112257926e-07
D1_2024,D1,2024,ha,Particulate matter,Pt,3.0,,5.4204899999999996e-11,1 ha worked,,centrifugal_spreader_singlescore_13.json,1.626147e-10,1.0,,3.4657700000000003e-10,1 ha worked,,combine_harvester_singlescore_16.json,3.4657700000000003e-10,3.0,,4.00589e-11,1 ha worked,,disk_harrow_singlescore_11.json,1.201767e-10,1.0,,2.3533799999999997e-10,1 ha worked,,laser_leveler_singlescore_12.json,2.3533799999999997e-10,1.0,,1.7875400000000004e-10,1 ha worked,,rotary_tiller_singlescore_14.json,1.7875400000000004e-10,0.0,,9.130600000000001e-11,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,7.844600000000002e-12,1 ha worked,,sprayer_singlescore_15.json,3.183389290299807e-11,1.075294292902998e-09
D1_2024,D1,2024,ha,Photochemical ozone formation,Pt,3.0,,0.5917,1 ha worked,,centrifugal_spreader_singlescore_13.json,1.7751000000000001,1.0,,4.268,1 ha worked,,combine_harvester_singlescore_16.json,4.268,3.0,,0.48305999999999993,1 ha worked,,disk_harrow_singlescore_11.json,1.4491799999999997,1.0,,2.5802,1 ha worked,,laser_leveler_singlescore_12.json,2.5802,1.0,,1.2998,1 ha worked,,rotary_tiller_singlescore_14.json,1.2998,0.0,,0.20757999999999996,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,0.037635999999999996,1 ha worked,,sprayer_singlescore_15.json,0.15272931612793958,11.525009316127937
D1_2024,D1,2024,ha,"Resource use, fossils",Pt,3.0,,1940138.9999999998,1 ha worked,,centrifugal_spreader_singlescore_13.json,5820416.999999999,1.0,,11808458.1,1 ha worked,,combine_harvester_singlescore_16.json,11808458.1,3.0,,1486788.3,1 ha worked,,disk_harrow_singlescore_11.json,4460364.9,1.0,,8854809.6,1 ha worked,,laser_leveler_singlescore_12.json,8854809.6,1.0,,4686307.2,1 ha worked,,rotary_tiller_singlescore_14.json,4686307.2,0.0,,1833385.2000000002,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,127767.9,1 ha worked,,sprayer_singlescore_15.json,518490.3812866132,36148847.18128662
D1_2024,D1,2024,ha,"Resource use, minerals and metals",Pt,3.0,,1.5072e-06,1 ha worked,,centrifugal_spreader_singlescore_13.json,4.5216e-06,1.0,,1.2384e-05,1 ha worked,,combine_harvester_singlescore_16.json,1.2384e-05,3.0,,6.095999999999998e-07,1 ha worked,,disk_harrow_singlescore_11.json,1.8287999999999995e-06,1.0,,4.4015999999999995e-06,1 ha worked,,laser_leveler_singlescore_12.json,4.4015999999999995e-06,1.0,,2.976e-06,1 ha worked,,rotary_tiller_singlescore_14.json,2.976e-06,0.0,,1.7759999999999998e-06,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,1.3968e-07,1 ha worked,,sprayer_singlescore_15.json,5.66830451608848e-07,2.6678830451608845e-05
D1_2024,D1,2024,ha,Total,Pt,3.0,,18203540.602892786,1 ha worked,,centrifugal_spreader_singlescore_13.json,54610621.80867836,1.0,,101551998.37990059,1 ha worked,,combine_harvester_singlescore_16.json,101551998.37990059,3.0,,16844590.994255494,1 ha worked,,disk_harrow_singlescore_11.json,50533772.98276648,1.0,,80616648.64674218,1 ha worked,,laser_leveler_singlescore_12.json,80616648.64674218,1.0,,51483431.65711595,1 ha worked,,rotary_tiller_singlescore_14.json,51483431.65711595,0.0,,20774237.986285694,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,11253191.91303122,1 ha worked,,sprayer_singlescore_15.json,45666178.795135476,384462652.2703391
D1_2024,D1,2024,ha,Water use,Pt,3.0,,2065.69,1 ha worked,,centrifugal_spreader_singlescore_13.json,6197.07,1.0,,12531.2,1 ha worked,,combine_harvester_singlescore_16.json,12531.2,3.0,,837.045,1 ha worked,,disk_harrow_singlescore_11.json,2511.1349999999998,1.0,,7773.259999999999,1 ha worked,,laser_leveler_singlescore_12.json,7773.259999999999,1.0,,6275.389999999999,1 ha worked,,rotary_tiller_singlescore_14.json,6275.389999999999,0.0,,3367.76,1 ha worked,,seeder_singlescore_17.json,0.0,4.0580645161,,230.065,1 ha worked,,sprayer_singlescore_15.json,933.6186128965464,36221.67361289654
D2_2022,D2,2022,ha,Acidification,Pt,2.0,,0.8703199999999999,1 ha worked,,centrifugal_spreader_singlescore_13.json,1.7406399999999997,1.0,,6.1575999999999995,1 ha worked,,combine_harvester_singlescore_16.json,6.1575999999999995,3.0,,0.6948799999999999,1 ha worked,,disk_harrow_singlescore_11.json,2.08464,1.0,,3.784,1 ha worked,,laser_leveler_singlescore_12.json,3.784,1.0,,1.95048,1 ha worked,,rotary_tiller_singlescore_14.json,1.95048,1.0,,0.39904,1 ha worked,,seeder_singlescore_17.json,0.39904,8.0,,0.057448000000000006,1 ha worked,,sprayer_singlescore_15.json,0.45958400000000005,16.575984000000002
D2_2022,D2,2022,ha,Climate change,Pt,2.0,,47577.59999999999,1 ha worked,,centrifugal_spreader_singlescore_13.json,95155.19999999998,1.0,,293625.3,1 ha worked,,combine_harvester_singlescore_16.json,293625.3,3.0,,36196.5,1 ha worked,,disk_harrow_singlescore_11.json,108589.5,1.0,,219798.59999999998,1 ha worked,,laser_leveler_singlescore_12.json,219798.59999999998,1.0,,123280.5,1 ha worked,,rotary_tiller_singlescore_14.json,123280.5,1.0,,50037.9,1 ha worked,,seeder_singlescore_17.json,50037.9,8.0,,3416.1000000000004,1 ha worked,,sprayer_singlescore_15.json,27328.800000000003,917815.8
D2_2022,D2,2022,ha,Climate change - Biogenic,Pt,2.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,1.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,8.0,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D2_2022,D2,2022,ha,Climate change - Fossil,Pt,2.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,1.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,8.0,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D2_2022,D2,2022,ha,Climate change - Land use and LU change,Pt,2.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,1.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,8.0,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D2_2022,D2,2022,ha,"Ecotoxicity, freshwater",Pt,2.0,,92856.62000000001,1 ha worked,,centrifugal_spreader_singlescore_13.json,185713.24000000002,1.0,,619566.99,1 ha worked,,combine_harvester_singlescore_16.json,619566.99,3.0,,53553.84,1 ha worked,,disk_harrow_singlescore_11.json,160661.52,1.0,,360473.73,1 ha worked,,laser_leveler_singlescore_12.json,360473.73,1.0,,257538.30999999997,1 ha worked,,rotary_tiller_singlescore_14.json,257538.30999999997,1.0,,133625.82,1 ha worked,,seeder_singlescore_17.json,133625.82,8.0,,7323.02,1 ha worked,,sprayer_singlescore_15.json,58584.16,1776163.77
D2_2022,D2,2022,ha,"Ecotoxicity, freshwater - inorganics",Pt,2.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,1.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,8.0,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D2_2022,D2,2022,ha,"Ecotoxicity, freshwater - metals",Pt,2.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,1.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,8.0,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D2_2022,D2,2022,ha,"Ecotoxicity, freshwater - organics",Pt,2.0,,0.0,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.0,1.0,,0.0,1 ha worked,,combine_harvester_singlescore_16.json,0.0,3.0,,0.0,1 ha worked,,disk_harrow_singlescore_11.json,0.0,1.0,,0.0,1 ha worked,,laser_leveler_singlescore_12.json,0.0,1.0,,0.0,1 ha worked,,rotary_tiller_singlescore_14.json,0.0,1.0,,0.0,1 ha worked,,seeder_singlescore_17.json,0.0,8.0,,0.0,1 ha worked,,sprayer_singlescore_15.json,0.0,0.0
D2_2022,D2,2022,ha,"Eutrophication, freshwater",Pt,2.0,,7.1276e-05,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.000142552,1.0,,0.00048615999999999997,1 ha worked,,combine_harvester_singlescore_16.json,0.00048615999999999997,3.0,,3.0076e-05,1 ha worked,,disk_harrow_singlescore_11.json,9.0228e-05,1.0,,0.00026574,1 ha worked,,laser_leveler_singlescore_12.json,0.00026574,1.0,,0.00023895999999999998,1 ha worked,,rotary_tiller_singlescore_14.json,0.00023895999999999998,1.0,,0.00014111,1 ha worked,,seeder_singlescore_17.json,0.00014111,8.0,,5.6032e-06,1 ha worked,,sprayer_singlescore_15.json,4.48256e-05,0.0014095756
D2_2022,D2,2022,ha,"Eutrophication, marine",Pt,2.0,,0.08380000000000001,1 ha worked,,centrifugal_spreader_singlescore_13.json,0.16760000000000003,1.0,,0.610902,1 ha worked,,combine_harvester_singlescore_16.json,0.610902,3.0,,0.0708948,1 ha worked,,disk_harrow_singlescore_11.json,0.2126844,1.0,,0.37207199999999996,1 ha worked,,laser_leveler_singlescore_12.json,0.37207199999999996,1.0,,0.17849399999999999,1 ha worked,,rotary_tiller_singlescore_14.json,0.17849399999999999,1.0,,0.017262800000000002,1 ha worked,,seeder_singlescore_17.json,0.017262800000000002,8.0,,0.005413480000000001,1 ha worked,,sprayer_singlescore_15.json,0.04330784000000001,1.6023230399999997
