dmu_id,farmer_id,year,basis,impact_category,impact_unit,water_amount_m3_ha,water_amount_m3_tonne,water_factor_per_unit,water_factor_unit,characterisation_sheet,single_score_file,water_total_impact
NT2_2023,NT2,2023,ha,"Human toxicity, cancer",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,"Human toxicity, cancer - inorganics",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,"Human toxicity, cancer - metals",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,"Human toxicity, cancer - organics",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,"Human toxicity, non-cancer",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,"Human toxicity, non-cancer - inorganics",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,"Human toxicity, non-cancer - metals",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,"Human toxicity, non-cancer - organics",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,Ionising radiation,kBq U-235 eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,Land use,Pt,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,Ozone depletion,kg CFC11 eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,Particulate matter,disease inc.,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,Photochemical ozone formation,kg NMVOC eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,"Resource use, fossils",MJ,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,"Resource use, minerals and metals",kg Sb eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2023,NT2,2023,ha,Water use,m3 depriv.,11318.4,,49.6,1 m3 water,18_chara,,561392.64
NT2_2024,NT2,2024,ha,Acidification,mol H+ eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,Climate change,kg CO2 eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,Climate change - Biogenic,kg CO2 eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,Climate change - Fossil,kg CO2 eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,Climate change - Land use and LU change,kg CO2 eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Ecotoxicity, freshwater",CTUe,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Ecotoxicity, freshwater - inorganics",CTUe,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Ecotoxicity, freshwater - metals",CTUe,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Ecotoxicity, freshwater - organics",CTUe,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Eutrophication, freshwater",kg P eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Eutrophication, marine",kg N eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Eutrophication, terrestrial",mol N eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Human toxicity, cancer",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Human toxicity, cancer - inorganics",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Human toxicity, cancer - metals",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Human toxicity, cancer - organics",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Human toxicity, non-cancer",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Human toxicity, non-cancer - inorganics",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Human toxicity, non-cancer - metals",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Human toxicity, non-cancer - organics",CTUh,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,Ionising radiation,kBq U-235 eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,Land use,Pt,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,Ozone depletion,kg CFC11 eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,Particulate matter,disease inc.,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,Photochemical ozone formation,kg NMVOC eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Resource use, fossils",MJ,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,"Resource use, minerals and metals",kg Sb eq,11318.4,,0.0,1 m3 water,18_chara,,0.0
NT2_2024,NT2,2024,ha,Water use,m3 depriv.,11318.4,,49.6,1 m3 water,18_chara,,561392.64
